PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
122,3,Great performance on mobile.,2026-05-24 23:04:57,131,6,"#social,#mood",0.37
123,5,Absolutely love the UX!,2026-06-01 07:04:57,12,35,"#fail,#mood",-0.8
124,9,Loving the new update!,2026-05-26 14:04:57,47,20,#mood,-0.34
125,1,Just another day...,2026-06-02 18:04:57,94,39,"#cleanUI,#mood,#bug",-0.31
126,8,Absolutely love the UX!,2026-06-01 08:04:57,60,37,#fail,-0.42
127,7,Just another day...,2026-05-26 23:04:57,123,49,"#design,#tech",0.29
128,3,Such a smooth interface!,2026-05-28 16:04:57,149,41,"#UX,#AI",0.37
129,8,Just another day...,2026-05-30 03:04:57,46,27,"#fail,#design",-0.92
130,6,Such a smooth interface!,2026-05-30 16:04:57,44,37,#bug,0.41
131,10,Can’t stop using it!,2026-05-28 13:04:57,31,50,"#design,#cleanUI,#bug",-0.4
132,8,Absolutely love the UX!,2026-05-28 11:04:57,109,29,"#cleanUI,#design,#fail",0.64
133,2,Needs dark mode ASAP!,2026-05-27 21:04:57,113,15,#mood,-0.04
134,1,This app keeps crashing. So annoying.,2026-05-28 18:04:57,71,34,#mood,0.76
135,8,This app keeps crashing. So annoying.,2026-05-31 08:04:57,124,13,"#cleanUI,#mood",-0.69
136,1,Just another day...,2026-05-25 02:04:57,105,40,"#fail,#design",-0.81
137,7,Loving the new update!,2026-05-25 08:04:57,66,21,#tech,-0.26
138,8,Great performance on mobile.,2026-06-01 19:04:57,17,20,"#fail,#social,#UX",0.47
139,2,Great performance on mobile.,2026-05-31 21:04:57,1,15,"#love,#mood",0.36
140,2,Great performance on mobile.,2026-06-01 00:04:57,55,38,#cleanUI,0.7
141,5,Needs dark mode ASAP!,2026-05-25 16:04:57,110,13,#social,0.78
142,8,Absolutely love the UX!,2026-06-03 10:04:57,32,8,"#mood,#design,#love",0.2
143,2,This app keeps crashing. So annoying.,2026-05-30 08:04:57,41,26,"#fail,#cleanUI",-0.92
144,3,Such a smooth interface!,2026-06-02 03:04:57,100,19,"#fail,#social",-0.99
145,2,This app keeps crashing. So annoying.,2026-05-28 17:04:57,1,29,#fail,-0.73
146,3,Can’t stop using it!,2026-05-26 13:04:57,143,14,"#bug,#mood,#design",-0.99
147,8,Needs dark mode ASAP!,2026-05-30 02:04:57,45,16,#AI,0.88
148,1,Can’t stop using it!,2026-05-27 21:04:57,42,41,"#design,#fail,#love",-0.86
149,2,Such a smooth interface!,2026-06-02 08:04:57,49,16,"#love,#design",0.89
150,5,I’m impressed with the speed.,2026-05-27 00:04:57,92,49,"#love,#UX",0.76
151,1,Worst experience ever.,2026-05-31 01:04:57,61,23,#social,0.65
152,4,This app keeps crashing. So annoying.,2026-06-02 10:04:57,123,16,"#bug,#design,#mood",-0.66
153,9,Great performance on mobile.,2026-06-02 16:04:57,9,49,"#love,#design",0.7
154,4,Great performance on mobile.,2026-06-03 11:04:57,65,26,"#design,#bug",-0.6
155,5,Absolutely love the UX!,2026-06-02 04:04:57,89,23,"#mood,#social",0.24
156,3,Needs dark mode ASAP!,2026-06-02 04:04:57,38,50,"#tech,#UX",0.08
157,9,Great performance on mobile.,2026-05-31 10:04:57,91,50,#design,-0.09
158,1,Great performance on mobile.,2026-05-31 06:04:57,98,50,#social,0.84
159,2,This app keeps crashing. So annoying.,2026-05-25 00:04:57,77,13,"#AI,#UX",0.01
160,7,Loving the new update!,2026-06-02 13:04:57,126,22,#UX,-0.56
161,9,Great performance on mobile.,2026-06-01 13:04:57,51,20,"#bug,#AI,#social",0.49
162,1,Such a smooth interface!,2026-06-01 07:04:57,68,37,"#bug,#love",-0.05
163,10,I’m impressed with the speed.,2026-05-31 05:04:57,12,17,"#UX,#AI,#social",-0.83
164,7,Can’t stop using it!,2026-06-01 23:04:57,143,17,#bug,0.34
165,9,Such a smooth interface!,2026-05-25 16:04:57,30,14,"#mood,#love",0.07
166,9,Can’t stop using it!,2026-05-31 14:04:57,96,21,#mood,0.74
167,4,Such a smooth interface!,2026-05-31 18:04:57,92,14,"#social,#tech",-0.55
168,2,Loving the new update!,2026-06-03 13:04:57,18,6,"#tech,#UX,#mood",-0.63
169,9,Loving the new update!,2026-05-31 18:04:57,141,0,#AI,-0.86
170,4,Can’t stop using it!,2026-05-28 14:04:57,38,36,"#AI,#design",-0.74
171,10,Worst experience ever.,2026-05-26 10:04:57,54,4,#love,-0.14
172,1,Just another day...,2026-05-31 19:04:57,64,43,"#social,#cleanUI,#design",-0.79
173,9,Such a smooth interface!,2026-06-01 14:04:57,111,5,"#AI,#cleanUI",0.22
174,10,Can’t stop using it!,2026-05-27 00:04:57,38,5,#social,0.1
175,3,Just another day...,2026-05-30 13:04:57,89,20,#love,0.01
176,8,Loving the new update!,2026-06-02 05:04:57,116,49,"#love,#social,#bug",-0.1
177,5,Loving the new update!,2026-06-03 13:04:57,120,46,"#mood,#fail",-0.98
178,8,Can’t stop using it!,2026-06-03 09:04:57,39,1,"#UX,#social,#love",-0.27
179,7,Loving the new update!,2026-05-25 16:04:57,131,44,#UX,-0.46
180,6,Great performance on mobile.,2026-05-27 17:04:57,77,3,"#mood,#bug",0.1
181,7,Worst experience ever.,2026-06-01 12:04:57,3,0,"#mood,#design",-0.52
182,9,I’m impressed with the speed.,2026-05-26 10:04:57,121,2,"#mood,#design,#bug",-0.32
183,1,Just another day...,2026-05-27 00:04:57,13,39,"#social,#bug",0.02
184,10,Such a smooth interface!,2026-06-01 10:04:57,90,28,#AI,-0.89
185,3,Needs dark mode ASAP!,2026-05-31 23:04:57,13,36,"#love,#mood",-0.57
186,9,Such a smooth interface!,2026-06-03 14:04:57,20,48,"#UX,#bug,#AI",0.91
187,5,Just another day...,2026-05-26 10:04:57,81,35,#tech,0.35
188,6,Loving the new update!,2026-05-29 21:04:57,3,25,#love,-0.62
189,10,Absolutely love the UX!,2026-05-29 09:04:57,91,19,"#mood,#design",-0.11
190,10,Such a smooth interface!,2026-05-27 04:04:57,87,48,"#bug,#social,#AI",-0.66
191,3,This app keeps crashing. So annoying.,2026-06-01 19:04:57,132,19,#mood,-0.02
192,9,I’m impressed with the speed.,2026-05-26 14:04:57,70,37,"#AI,#bug",0.23
193,1,Great performance on mobile.,2026-05-31 18:04:57,0,21,"#tech,#bug",0.69
194,2,Can’t stop using it!,2026-05-28 03:04:57,112,40,"#love,#bug,#tech",-0.75
195,2,I’m impressed with the speed.,2026-05-26 20:04:57,76,21,"#love,#mood",-0.89
196,8,This app keeps crashing. So annoying.,2026-05-29 17:04:57,34,24,#AI,-0.87
197,5,Can’t stop using it!,2026-05-30 16:04:57,7,1,"#tech,#fail,#mood",-0.53
198,3,Such a smooth interface!,2026-05-28 16:04:57,19,35,"#UX,#mood",-0.99
199,5,This app keeps crashing. So annoying.,2026-05-27 18:04:57,7,29,#tech,0.08
200,2,I’m impressed with the speed.,2026-06-02 13:04:57,27,38,#love,-0.64
